Alberta,Classification,Wage,,,
#wages,GF,52.31,,,
#wages,Foreperson,50.31,,,
#wages,Lead Hand,47.96,,,
#wages,Journeyperson,44.81,,,
#wages,3rd Year App,40.15,,,
#wages,2nd Year App,33.15,,,
#wages,1st Year App,26.16,,,
#wages,Helper,33.15,,,
,,,,,
,,,,,
#vac_rate,0.1,,,,
#field_dues,0.0375,,,,
#month_dues,39.85,,,,
#night_prem,3.25,,,,
,,,,,
,,,,,
,,,,,
#rates,0.1,,,,
#rates,0.1,,,,
#rates,0.1,,,,
#rates,0.1,0.12,0.13,0.14,0.15
,,,,,
#brackets,0,,,,
#brackets,0,,,,
#brackets,0,,,,
#brackets,0,125000,150000,200000,300000
,,,,,
#const_k,0,,,,
#const_k,0,,,,
#const_k,0,,,,
#const_k,0,2500,4000,6000,9000
,,,,,
#claim_amount,17593,17787,18214,18451,
